# CAPES - CIÊNCIAS EXATAS E DA TERRA - CIÊNCIA DA COMPUTAÇÃO
codigoPrograma;PROGRAMA;IES;UF;M;D;F
28001010095P3;CIÊNCIA DA COMPUTAÇÃO;UFBA;BA;4;4;-
22003010018P1;CIÊNCIA DA COMPUTAÇÃO;UECE;CE;3;-;-
22008012004P2;CIÊNCIA DA COMPUTAÇÃO;IFCE;CE;3;-;-
52001016027P2;CIÊNCIA DA COMPUTAÇÃO;UFG;GO;4;-;-
20001010022P0;CIÊNCIA DA COMPUTAÇÃO;UFMA;MA;3;-;-
32002017027P2;CIÊNCIA DA COMPUTAÇÃO;UFV;MG;3;-;-
32004010027P9;CIÊNCIA DA COMPUTAÇÃO;UFLA;MG;3;-;-
32005016034P8;CIÊNCIA DA COMPUTAÇÃO;UFJF;MG;3;-;-
32006012017P2;CIÊNCIA DA COMPUTAÇÃO;UFU;MG;4;4;-
32007019023P9;CIÊNCIA DA COMPUTAÇÃO;UFOP;MG;4;-;-
51001012012P2;CIÊNCIA DA COMPUTAÇÃO;UFMS;MS;4;-;-
15001016047P9;CIÊNCIA DA COMPUTAÇÃO;UFPA;PA;4;-;-
24009016005P0;CIÊNCIA DA COMPUTAÇÃO;UFCG;PB;4;4;-
21001014031P2;CIÊNCIA DA COMPUTAÇÃO;FUFPI;PI;3;-;-
40002012033P5;CIÊNCIA DA COMPUTAÇÃO;UEL;PR;3;-;-
40004015019P5;CIÊNCIA DA COMPUTAÇÃO;UEM;PR;3;-;-
42005019016P8;CIÊNCIA DA COMPUTAÇÃO;PUC/RS;RS;5;5;-
27001016029P4;CIÊNCIA DA COMPUTAÇÃO;FUFSE;SE;3;-;-
33001014008P4;CIÊNCIA DA COMPUTAÇÃO;UFSCAR;SP;4;4;-
33001014044P0;CIÊNCIA DA COMPUTAÇÃO;UFSCAR;SP;3;-;-
33002010176P0;CIÊNCIA DA COMPUTAÇÃO;USP;SP;6;6;-
33003017005P8;CIÊNCIA DA COMPUTAÇÃO;UNICAMP;SP;7;7;-
33004153073P2;CIÊNCIA DA COMPUTAÇÃO;UNESP/SJRP;SP;4;-;-
33009015079P0;CIÊNCIA DA COMPUTAÇÃO;UNIFESP;SP;3;-;-
33144010008P1;CIÊNCIA DA COMPUTAÇÃO;UFABC;SP;3;-;-
33149011002P1;CIÊNCIA DA COMPUTAÇÃO;FACCAMP;SP;3;-;-
23002018002P4;CIÊNCIA DA COMPUTAÇÃO - UERN - UFERSA;UERN;RN;3;-;-
28001010090P1;CIÊNCIA DA COMPUTAÇÃO - UFBA - UEFS;UFBA;BA;3;-;-
28001010061P1;CIÊNCIA DA COMPUTAÇÃO - UFBA - UNIFACS - UEFS;UFBA;BA;-;4;-
51001012028P6;CIÊNCIA DA COMPUTAÇÃO - UFMS - UFG;UFMS;MS;-;4;-
32003013008P4;CIÊNCIA E TECNOLOGIA DA COMPUTAÇÃO;UNIFEI;MG;3;-;-
